,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
0,"JOHNSON, RONALD",NA,NA,NA,NA,NA
1,"GE, WEILI",7433,13,11,14,12
2,"SIEGEL, STEPHAN",1850,15,14,19,18
3,"JAIN, APURVA",NA,NA,NA,NA,NA
4,"KOSKI, JENNIFER",NA,NA,NA,NA,NA
5,"DEMERJIAN, PETER",1010,10,10,10,10
6,"GILBERT, THOMAS",408,7,7,7,7
7,"CURTIS, ASHER",242,9,8,9,8
8,"SCHULZ, FLORIAN",117,3,3,2,2
9,"BROGAARD, JONATHAN",2525,13,13,13,13
10,"MAMANI, HAMED",NA,NA,NA,NA,NA
11,"WESTERFIELD, MARK",940,9,9,9,8
12,"DUCHIN, RAN",3206,15,15,18,17
13,"WAGNER, MICHAEL",532,11,10,15,11
14,"YOGANARASIMHAN, HEMA",342,7,7,7,7
15,"PATRICK, PAIGE",NA,NA,NA,NA,NA
16,"QUINN, PHILLIP",NA,NA,NA,NA,NA
17,"PATEL, SHWETAK",7009,43,34,104,98
18,"BLACKBURNE, TERRENCE",NA,NA,NA,NA,NA
19,"SHAIKH, SARAH",NA,NA,NA,NA,NA
20,"SIRMON, DAVID",11342,24,24,24,24
21,"TRIPATHY, ARINDAM",562,10,10,10,10
22,"RUTZ, OLIVER",916,10,10,11,10
23,"UMPHRESS, ELIZABETH",NA,NA,NA,NA,NA
24,"HALLEN, BENJAMIN",944,9,9,9,8
25,"IRAVANI, FOAD",121,4,4,3,3
26,"PAHNKE, EMILY",NA,NA,NA,NA,NA
27,"ZHANG, XIA",NA,NA,NA,NA,NA
28,"BORAH, ABHISHEK",84,4,4,3,3
29,"SEMINARIO, ANA",NA,NA,NA,NA,NA
30,"BIGLEY, GREGORY",NA,NA,NA,NA,NA
31,"BARNES, CHRISTOPHER",2345,26,26,32,32
32,"HRDLICKA, CHRISTOPHER",108,4,4,4,3
33,"SAYEDI ROSH KHAR, SEYED",NA,NA,NA,NA,NA
34,"TAN, DAVID",570,6,6,4,4
35,"SHUNKO, MARIA",NA,NA,NA,NA,NA
36,"ROBERTS, FRANK",NA,NA,NA,NA,NA
37,"ACIKMESE, BEHCET",NA,NA,NA,NA,NA
38,"ZHANG, CRYSTAL",NA,NA,NA,NA,NA
39,"SHULMAN, JEFFREY",444,8,8,8,8
40,"DUNN, LEA",126,3,3,2,2
41,"HILLIER, MARK",NA,NA,NA,NA,NA
42,"DEWENTER, KATHRYN",2770,13,8,13,8
43,"DEMIRKAN, HALUK",3906,23,19,49,35
44,"GUPTA, ABHINAV",136,5,5,4,4
45,"POSNER, JONATHAN",3164,29,25,56,46
46,"PURDY, JILL",1153,11,10,15,10
47,"CHEN, SHI",2744,26,25,28,28
48,"HWANG, HYEUNJUNG",NA,NA,NA,NA,NA
49,"FAN, MING",3549,23,17,27,22
50,"KNUDSEN, SANNE",NA,NA,NA,NA,NA
51,"YANG, JIHUI",8538,47,37,113,96
52,"WU, JIANQING",NA,NA,NA,NA,NA
53,"CEZE, LUIS",7136,39,32,80,70
54,"MCCORMACK, SHANNON",NA,NA,NA,NA,NA
55,"JOSEPH, GAIL",NA,NA,NA,NA,NA
56,"ZHOU, YONGPIN",1910,20,16,37,23
57,"BRYAN, DANIEL",NA,NA,NA,NA,NA
58,"HEER, JEFFREY",12841,53,46,97,83
59,"HOSSAIN, FAISAL",6758,30,23,75,62
60,"CHI, DONALD",778,16,16,30,28
61,"CALO, MICHAEL",NA,NA,NA,NA,NA
62,"SEOW, GIM",NA,NA,NA,NA,NA
