,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
900,"YOUNG, GLENNYS",NA,NA,NA,NA,NA
901,"BEAM, RANDAL",NA,NA,NA,NA,NA
902,"EYRE, DAVID",NA,NA,NA,NA,NA
903,"ZABINSKY, ZELDA",3136,26,14,49,21
904,"COVEY, ELLEN",5095,41,18,58,27
905,"BANKS, CHERRY",1648,13,13,14,13
906,"CHRISTIE, PATRICK",3896,31,25,49,39
907,"CHUDE-SOKEI, LOUIS",NA,NA,NA,NA,NA
908,"BURKE, JAMES",4940,40,24,68,51
909,"POLLACK, DANIEL",987,18,12,22,15
910,"SMITH, MARK",NA,NA,NA,NA,NA
911,"GROOM, MARTHA",6103,28,19,37,26
912,"MAYER, JONATHAN",NA,NA,NA,NA,NA
913,"WILLIAMS, MICHAEL",4532,35,24,72,46
914,"BENJAMIN, MARK",891,15,14,21,16
915,"DIAZ, JAIME",1207,19,6,24,1
916,"MCGOVERN, WILLIAM",NA,NA,NA,NA,NA
917,"BERNARD, JONATHAN",NA,NA,NA,NA,NA
918,"OSHIMA, KEN",NA,NA,NA,NA,NA
919,"LAYTON, DAVID",NA,NA,NA,NA,NA
920,"GRAHAM, C",NA,NA,NA,NA,NA
921,"BRETT, MICHAEL",6780,40,30,78,61
922,"HORAK, PETER",1061,17,12,31,17
923,"STEELE, CYNTHIA",NA,NA,NA,NA,NA
924,"STENSEL, H",NA,NA,NA,NA,NA
925,"KENNEY, RICHARD",NA,NA,NA,NA,NA
926,"GARVENS, ELLEN",NA,NA,NA,NA,NA
927,"NICOLETTA, JULIE",NA,NA,NA,NA,NA
928,"SCHMIDT, BENJAMIN",NA,NA,NA,NA,NA
929,"WEINER, BRYAN",NA,NA,NA,NA,NA
930,"HART, DANIEL",NA,NA,NA,NA,NA
931,"STREITBERGER, WILLIAM",NA,NA,NA,NA,NA
932,"BAROSS, JOHN",NA,NA,NA,NA,NA
933,"SALZMAN, TIMOTHY",NA,NA,NA,NA,NA
934,"LYNCH, THOMAS",NA,NA,NA,NA,NA
935,"SORENSEN, CLARK",NA,NA,NA,NA,NA
936,"FOSTER, RONALD",NA,NA,NA,NA,NA
937,"EWING, KERN",NA,NA,NA,NA,NA
938,"KAPLAN, SYDNEY",NA,NA,NA,NA,NA
939,"ALLAN, G",3064,27,10,78,11
940,"STARR, LAWRENCE",NA,NA,NA,NA,NA
941,"CIMINI, CHRISTINE",NA,NA,NA,NA,NA
942,"GRUNBAUM, DANIEL",NA,NA,NA,NA,NA
943,"CAMPBELL, PATRICIA",NA,NA,NA,NA,NA
944,"KISSEL, JOHN",NA,NA,NA,NA,NA
945,"ANAGNOST, ANN",NA,NA,NA,NA,NA
946,"WYLIE, MARGARET",NA,NA,NA,NA,NA
947,"RIVENBURGH, NANCY",NA,NA,NA,NA,NA
948,"SHEPPARD, CRAIG",NA,NA,NA,NA,NA
949,"SOKOLOFF, NAOMI",NA,NA,NA,NA,NA
950,"CHRISMAN, NOEL",NA,NA,NA,NA,NA
951,"JOHNSON, DAVID",NA,NA,NA,NA,NA
952,"MARTIN, R",348,10,9,10,9
