,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
500,"KOLLMAN, JUSTIN",1921,18,15,20,16
501,"CICHOWSKI, RACHEL",NA,NA,NA,NA,NA
502,"VEESLER, DAVID",1387,21,21,31,29
503,"EISENBERG, DANIEL",1777,21,18,31,29
504,"UDELL, WADIYA",955,11,10,11,10
505,"BACCI, JENNIFER",NA,NA,NA,NA,NA
506,"LORETO, MILAGROS",NA,NA,NA,NA,NA
507,"TWEEDIE, JAMES",114,6,5,5,2
508,"FU, DAN",1976,22,19,28,26
509,"MACKENZIE, DONALD",452,9,7,9,7
510,"FELD, ANDREW",NA,NA,NA,NA,NA
511,"POPOWICS, TRACY",NA,NA,NA,NA,NA
512,"MILLER, DANA",430,9,7,9,7
513,"ROBERTS, CARLY",93,6,6,4,4
514,"YOUNG, JODI",959,12,12,12,12
515,"JOHNSON, SUSAN",694,8,7,4,4
516,"KELLEY, MATTHEW",74,5,5,2,2
517,"FRANCIS, MEGAN",NA,NA,NA,NA,NA
518,"LANDIS, ANDREA",NA,NA,NA,NA,NA
519,"GAWEL, JAMES",327,10,7,10,3
520,"JUNG, MOON-HO",NA,NA,NA,NA,NA
521,"PRUGH, LAURA",1984,18,15,20,20
522,"AU, WAYNE",14957,63,43,250,179
523,"TOBIN, PATRICK",2845,28,22,62,43
524,"MACK, EDWARD",NA,NA,NA,NA,NA
525,"VARGHESE, MANKA",1667,15,13,20,16
526,"CARLISLE, SHAUNA",NA,NA,NA,NA,NA
527,"SHLIZERMAN, ELI",415,12,10,14,11
528,"TANG, HSIN-YI",NA,NA,NA,NA,NA
529,"WHITING, SUSAN",1378,11,7,15,6
530,"KWON, YOUNG",934,13,11,13,11
531,"RYBKA, GRAY",NA,NA,NA,NA,NA
532,"TAYLOR, KATHERINE",NA,NA,NA,NA,NA
533,"SUN, MIN",8864,49,25,143,62
534,"MUDZIMIRI, REJOICE",NA,NA,NA,NA,NA
535,"SHENG, JIE",NA,NA,NA,NA,NA
536,"MEEKER, KATHLEEN",323,8,8,8,8
537,"CHRISTIE, RICHARD",NA,NA,NA,NA,NA
538,"SPENCER, KRISTIE",NA,NA,NA,NA,NA
539,"JOSLYN, SUSAN",878,19,15,25,20
540,"RIOS, JOSE",NA,NA,NA,NA,NA
541,"BETRUS, PATRICIA",NA,NA,NA,NA,NA
542,"DABIRI, DANA",NA,NA,NA,NA,NA
543,"KIER, ELIZABETH",1474,9,7,9,6
544,"WATTS, RICHARD",NA,NA,NA,NA,NA
545,"CALVI, PAOLO",93,5,5,2,2
546,"LEE, HYUN",138,7,7,5,4
547,"STEWART, JOHN",13665,56,38,182,153
548,"SWARR, AMANDA",NA,NA,NA,NA,NA
549,"CURRAN, SARA",2651,22,16,31,21
550,"TUTHILL, JOHN",261,7,7,7,6
551,"CLARK, SAMUEL",NA,NA,NA,NA,NA
552,"KIM, YONG-WOO",749,16,12,24,16
553,"REUSCH, JOHANN",NA,NA,NA,NA,NA
554,"DODD, MICHAEL",1722,13,13,15,15
555,"BORYS, ANN",NA,NA,NA,NA,NA
556,"PAMPIN, JUAN",NA,NA,NA,NA,NA
557,"KOVER, SARA",959,14,14,19,19
558,"STROMBERG, CAROLINE",2821,20,20,29,28
559,"WRIGHT, CASSANDRA",NA,NA,NA,NA,NA
560,"HOLT, BRADLEY",NA,NA,NA,NA,NA
561,"FRACE, JEFFREY",NA,NA,NA,NA,NA
562,"KIM, HYUNG",3236,19,19,24,23
563,"PACHECO DE RESENDE, FERNAN",NA,NA,NA,NA,NA
564,"STROUP, SARAH",NA,NA,NA,NA,NA
565,"MESCHER, ANN",NA,NA,NA,NA,NA
566,"RADNITZ, SCOTT",688,11,8,13,8
567,"CHUNG, JAEHYUN",1633,21,16,37,27
568,"LIN, KEN-YU",418,10,9,12,9
569,"HUMPHRIES, THOMAS",117,6,5,5,4
570,"MIGLIACCIO, GIOVANNI",666,11,10,13,11
571,"DUDLEY, SHANNON",NA,NA,NA,NA,NA
572,"LIU, JONATHAN",1746,22,22,36,32
573,"WILSON, GREGORY",1611,19,16,31,27
574,"DANA, KARAM",43,2,2,1,1
575,"MCCORMICK, TYLER",777,13,13,18,16
576,"PEARCE, KATY",796,11,11,13,11
577,"GRIFFITH, JOHN",NA,NA,NA,NA,NA
578,"BROCK, PHILIP",NA,NA,NA,NA,NA
579,"COTE, CHARLOTTE",NA,NA,NA,NA,NA
580,"GONZALEZ, SARA",NA,NA,NA,NA,NA
581,"SCHINDLER, HOLLY",NA,NA,NA,NA,NA
582,"WARD, TERESA",650,16,13,17,15
583,"LEWIS, KATHERINE",130,6,6,4,3
584,"FYALL, RACHEL",37,4,4,2,2
585,"KELLY, RYAN",1419,19,18,22,22
586,"MARTIN, MINDA",NA,NA,NA,NA,NA
587,"CHINN, DONALD",NA,NA,NA,NA,NA
588,"GONZALEZ, CARMEN",184,8,8,5,4
589,"MILLION, DIAN",NA,NA,NA,NA,NA
590,"QUINN, SARAH",NA,NA,NA,NA,NA
591,"WILLIAMS, CHARLES",191,4,4,4,4
592,"WANG, HAICHENG",NA,NA,NA,NA,NA
593,"REID, JOSHUA",NA,NA,NA,NA,NA
594,"LANG, SABINE",NA,NA,NA,NA,NA
595,"EVANS-AGNEW, ROBIN",91,4,4,2,2
596,"PARKER, CHRISTOPHER",NA,NA,NA,NA,NA
597,"EVANS, LAURA",NA,NA,NA,NA,NA
598,"SANDERS, ELIZABETH",1352,19,18,24,23
599,"BOUTAIN, DORIS",NA,NA,NA,NA,NA
600,"CHOI, SEUNGKEUN",NA,NA,NA,NA,NA
601,"FINKE, JOHN",593,15,10,17,10
602,"HARACHI, TRACY",NA,NA,NA,NA,NA
603,"DEMASKE, CHRIS",NA,NA,NA,NA,NA
604,"FEARN-BANKS, KATHLEEN",NA,NA,NA,NA,NA
605,"SIERSCHYNSKI, JAREK",NA,NA,NA,NA,NA
606,"CUMMINGS, KATHERINE",NA,NA,NA,NA,NA
607,"ROBERTSON, IAIN",NA,NA,NA,NA,NA
608,"CHRISTIANSON, KNUT",728,16,16,22,22
609,"DHAVAN, PURNIMA",NA,NA,NA,NA,NA
610,"HUDSON, ROXANNE",2062,18,16,22,19
611,"GARDNER, BETH",2272,28,24,42,39
612,"CHANG, CYNTHIA",121,5,5,4,3
613,"PRICE, REBECCA",347,9,9,9,8
614,"JAIN, SHALINI",NA,NA,NA,NA,NA
615,"IGNACIO, EMILY",NA,NA,NA,NA,NA
616,"CLINE, ERICA",328,8,7,8,5
617,"WANG, EDITH",NA,NA,NA,NA,NA
618,"NATH, ABHINAV",NA,NA,NA,NA,NA
619,"RIBES, DAVID",1710,18,15,24,21
620,"BORN, BRANDEN",NA,NA,NA,NA,NA
621,"NEUMANN, REBECCA",728,8,8,8,7
622,"ALDRIDGE, EDITH",NA,NA,NA,NA,NA
623,"GOULD, ANNABELLE",NA,NA,NA,NA,NA
624,"RAI, CANDICE",NA,NA,NA,NA,NA
625,"MENALDO, VICTOR",1214,11,10,11,10
626,"MARSHALL, GILLIAN",NA,NA,NA,NA,NA
627,"THURTLE, PHILLIP",NA,NA,NA,NA,NA
628,"HOFFMAN, DANIEL",NA,NA,NA,NA,NA
629,"MCLAUGHLIN, KATIE",13296,62,60,129,126
630,"ELKHAFAIFI, HUSSEIN",NA,NA,NA,NA,NA
631,"BHOWMIK, DAVINDER",NA,NA,NA,NA,NA
632,"COHEN, JEFFREY",3720,23,17,48,26
633,"MANN, CASEY",NA,NA,NA,NA,NA
634,"GOERING, SARA",NA,NA,NA,NA,NA
635,"WIECZOREK, MAREK",NA,NA,NA,NA,NA
636,"BROWN, JONATHON",19629,48,32,65,53
637,"RETMAN, SONNET",NA,NA,NA,NA,NA
638,"FORMAN, MICHAEL",NA,NA,NA,NA,NA
639,"SOMMERVILLE, JESSICA",4455,24,20,34,28
640,"LINDHORST, TARYN",1406,21,17,33,24
641,"MONTGOMERY, MICHELLE",NA,NA,NA,NA,NA
642,"BRANDL, KLAUS",NA,NA,NA,NA,NA
643,"KALE, SUNILA",NA,NA,NA,NA,NA
644,"REDDY, CHANDAN",NA,NA,NA,NA,NA
645,"GUPTA, SUBHADEEP",NA,NA,NA,NA,NA
646,"WALSH, CAMILLE",NA,NA,NA,NA,NA
647,"NARAYANAN, HARIHARAN",414,10,9,11,9
648,"ANDERSON, PETER",NA,NA,NA,NA,NA
649,"MEYERS, STEPHEN",NA,NA,NA,NA,NA
650,"MICHAEL, FORREST",3272,24,19,29,25
651,"WOLF YADLIN, ALEJANDRO",2098,16,14,16,15
652,"OGIHARA, TOSHIYUKI",1633,15,10,18,10
653,"BURT, CALLIE",1513,15,14,18,18
654,"IAROCCI, LOUISA",NA,NA,NA,NA,NA
655,"MUMMALANENI, NARASIMHA",NA,NA,NA,NA,NA
656,"WADE, CHRISTOPHER",577,12,10,12,11
657,"WALKER, JOEL",NA,NA,NA,NA,NA
658,"DE COCK, MARTINE",3712,34,24,96,57
659,"XU, LIBIN",1411,18,18,25,24
660,"ALMGREN, GUNNAR",NA,NA,NA,NA,NA
661,"BRINES, JULIE",NA,NA,NA,NA,NA
662,"HOLMAN, DARRYL",NA,NA,NA,NA,NA
663,"CHEUNG, ALVIN",NA,NA,NA,NA,NA
664,"FLORES, JERRY",NA,NA,NA,NA,NA
665,"PENA, ROBERT",NA,NA,NA,NA,NA
666,"DEVINATZ, ETHAN",NA,NA,NA,NA,NA
667,"LEVOW, GINA-ANNE",NA,NA,NA,NA,NA
668,"HAREWOOD, SUSAN",NA,NA,NA,NA,NA
669,"MOORE, COLETTE",NA,NA,NA,NA,NA
670,"ENSIGN, B",NA,NA,NA,NA,NA
671,"SHARKEY, EMMETT",NA,NA,NA,NA,NA
672,"SISNEROS, JOSEPH",1646,24,19,32,31
673,"CHARUSHEELA, S",NA,NA,NA,NA,NA
674,"JANES, JOSEPH",NA,NA,NA,NA,NA
