,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
1000,"CITKO, BARBARA",1190,18,13,22,14
1001,"THOMAS, KAREN",NA,NA,NA,NA,NA
1002,"FOOT, KIRSTEN",NA,NA,NA,NA,NA
1003,"CRNKOVIC, GORDANA",NA,NA,NA,NA,NA
1004,"BOLTZ, WILLIAM",NA,NA,NA,NA,NA
1005,"STECHER, MARIANNE",NA,NA,NA,NA,NA
1006,"HAMILTON, GARY",NA,NA,NA,NA,NA
1007,"LESCHINE, THOMAS",NA,NA,NA,NA,NA
1008,"JENKINS, MARK",NA,NA,NA,NA,NA
1009,"YUE-HASHIMOTO, ANNE",NA,NA,NA,NA,NA
1010,"SUMIDA, STEPHEN",NA,NA,NA,NA,NA
1011,"LIDSTROM, MARY",18850,70,38,221,145
1012,"SCHICK, MICHAEL",14099,62,25,150,63
1013,"KAUP, MONIKA",NA,NA,NA,NA,NA
1014,"PURCELL, MARK",5309,27,23,41,36
1015,"CANGELOSI, GERARD",3988,33,21,65,45
1016,"SALOMON, RICHARD",NA,NA,NA,NA,NA
1017,"ALLEN, MICHAEL",NA,NA,NA,NA,NA
1018,"OLAVARRIA, JAIME",3270,32,13,55,19
1019,"FAIRHALL, ADRIENNE",3293,26,20,36,29
1020,"SEALES, MARC",NA,NA,NA,NA,NA
1021,"SUTTON, SHARON",NA,NA,NA,NA,NA
1022,"HOWARD, PHILIP",NA,NA,NA,NA,NA
1023,"ASBURY, CHARLES",NA,NA,NA,NA,NA
1024,"ANCHORDOGUY, MARIE",NA,NA,NA,NA,NA
1025,"BUFFALO, ELIZABETH",3423,26,20,31,26
1026,"EBREY, PATRICIA",NA,NA,NA,NA,NA
1027,"BEAVO, JOSEPH",NA,NA,NA,NA,NA
1028,"MORRIS, DAVID",NA,NA,NA,NA,NA
1029,"GOVEDARE, PHILIP",NA,NA,NA,NA,NA
1030,"KASHIMA, TETSUDEN",NA,NA,NA,NA,NA
1031,"PATTERSON, RONALD",NA,NA,NA,NA,NA
1032,"BROWN, MARSHALL",NA,NA,NA,NA,NA
1033,"OSTERHOUT, LEE",7659,32,26,42,36
1034,"FOOTE, DANIEL",NA,NA,NA,NA,NA
1035,"KILLIEN, MARCIA",NA,NA,NA,NA,NA
1036,"KRIEGER, JOHN",NA,NA,NA,NA,NA
1037,"BRODY, DAVID",NA,NA,NA,NA,NA
1038,"GAVEL ADAMS, ANN-CHARLOTTE",NA,NA,NA,NA,NA
1039,"KAISSE, ELLEN",NA,NA,NA,NA,NA
1040,"O'TOOLE, HELEN",NA,NA,NA,NA,NA
1041,"LAZZARI, MARCELINE",NA,NA,NA,NA,NA
1042,"STEIN, WILLIAM",NA,NA,NA,NA,NA
1043,"O'CONNOR, KATHLEEN",NA,NA,NA,NA,NA
1044,"CHESNUT, CHARLES",NA,NA,NA,NA,NA
1045,"HERSCHENSOHN, JULIA",NA,NA,NA,NA,NA
1046,"JACOBY, DANIEL",666,10,8,11,5
1047,"HOLSAPPLE, KEITH",NA,NA,NA,NA,NA
1048,"TOMPA, MARTIN",NA,NA,NA,NA,NA
1049,"LANDIS, CAROL",NA,NA,NA,NA,NA
1050,"MILLER, DAVID",NA,NA,NA,NA,NA
1051,"STEIN, MARCY",NA,NA,NA,NA,NA
1052,"BARASH, DAVID",7741,37,18,89,32
1053,"FRUMKIN, HOWARD",10469,45,28,99,55
1054,"ZAGONA, KAREN",NA,NA,NA,NA,NA
1055,"DIERWECHTER, YONN",315,10,8,10,8
1056,"MOORE, RONALD",NA,NA,NA,NA,NA
1057,"RASKIND, MURRAY",NA,NA,NA,NA,NA
1058,"LEGGOTT, PENELOPE",NA,NA,NA,NA,NA
1059,"NERAD, MARESI",NA,NA,NA,NA,NA
1060,"FURNESS, THOMAS",5820,40,23,77,37
1061,"CASTERAS, SUSAN",NA,NA,NA,NA,NA
1062,"CHIROT, DANIEL",NA,NA,NA,NA,NA
1063,"ZHOU, YONGPIN",1910,20,16,37,23
1064,"SIKMA, SUZANNE",NA,NA,NA,NA,NA
1065,"EBERHARD, MARC",2440,27,21,40,29
1066,"ELLSWORTH, ALLAN",NA,NA,NA,NA,NA
1067,"MEILA-PREDOVICIU, MARINA",NA,NA,NA,NA,NA
1068,"BADANES, STEVEN",NA,NA,NA,NA,NA
1069,"LANDENBURGER, KAREN",NA,NA,NA,NA,NA
1070,"SEITZ, STEVEN",25088,62,47,119,95
1071,"BAILLIE, THOMAS",NA,NA,NA,NA,NA
1072,"CONTE, JON",NA,NA,NA,NA,NA
1073,"WEINSTEIN, PHILIP",NA,NA,NA,NA,NA
1074,"PHILLIPS, PAUL",9462,50,42,73,70
1075,"HANKINSON NELSON, LYNN",NA,NA,NA,NA,NA
1076,"PLECKI, MARGARET",NA,NA,NA,NA,NA
1077,"STEVENSON, SIMON",NA,NA,NA,NA,NA
