,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
1100,"CHANSKY, HOWARD",2084,23,14,34,22
1101,"KIECKHEFER, GAIL",NA,NA,NA,NA,NA
1102,"ARAGON, CECILIA",5677,30,27,50,41
1103,"CRUTCHFIELD, ROBERT",NA,NA,NA,NA,NA
1104,"KLAVINS, ERIC",3544,33,18,51,28
1105,"RAIGRODSKI, ARIEL",NA,NA,NA,NA,NA
1106,"BOURGEOIS, JOANNE",4293,30,19,48,31
1107,"DE COCK, MARTINE",3711,34,24,96,57
1108,"MOURAD, PIERRE",NA,NA,NA,NA,NA
1109,"NOVETZKE, CHRISTIAN",NA,NA,NA,NA,NA
1110,"NORWOOD, THOMAS",NA,NA,NA,NA,NA
1111,"OLDEN, JULIAN",19580,69,56,172,161
1112,"JOHNSON, RICHARD",68662,136,83,561,408
1113,"TOEWS, JOHN",NA,NA,NA,NA,NA
1114,"CURRAN, SARA",2651,22,16,31,21
1115,"CAMERON, CHERYL",NA,NA,NA,NA,NA
1116,"KAISER, CHERYL",3624,29,24,40,37
1117,"BOSMA, MARTHA",NA,NA,NA,NA,NA
1118,"DOSSICK, CARRIE",1016,15,14,19,17
1119,"BEANE, SILAS",6540,52,29,88,57
1120,"GAMBOA, ERASMO",NA,NA,NA,NA,NA
1121,"MILLER, DONALD",NA,NA,NA,NA,NA
1122,"DUMITRIU, IOANA",1224,17,12,20,17
1123,"JANDHYALA, VIKRAM",NA,NA,NA,NA,NA
1124,"LAWLER, JOSHUA",7478,41,36,76,68
1125,"SOMMERVILLE, JESSICA",4454,24,20,34,28
1126,"MCLOUD-MANN, JENNIFER",NA,NA,NA,NA,NA
1127,"PEVTSOVA, JULIA",NA,NA,NA,NA,NA
1128,"MANN, CASEY",NA,NA,NA,NA,NA
1129,"OGSTON, ANDREA",NA,NA,NA,NA,NA
1130,"SISNEROS, JOSEPH",1646,24,19,32,31
1131,"ATKINS, PAUL",33,3,3,2,0
1132,"KAYAOGLU, TURAN",317,8,7,6,4
1133,"HAUSER, LORENZ",4149,31,20,65,45
1134,"CHEN, QIUZI",NA,NA,NA,NA,NA
1135,"STOKES, DAVID",983,16,12,17,14
1136,"WATRAS, M",NA,NA,NA,NA,NA
1137,"SCOTT, JOHN",33130,102,54,247,190
1138,"KUNZ, WILLIAM",NA,NA,NA,NA,NA
1139,"ETZIONI, OREN",NA,NA,NA,NA,NA
1140,"CRAWFORD, ROBERT",NA,NA,NA,NA,NA
1141,"BAJARI, PATRICK",9034,35,29,68,47
1142,"WAY, THAISA",NA,NA,NA,NA,NA
1143,"DELCOURT, DENYSE",NA,NA,NA,NA,NA
1144,"DOTY, SHARON",NA,NA,NA,NA,NA
1145,"HARRIS, MARIAN",NA,NA,NA,NA,NA
1146,"ROTTLE, NANCY",NA,NA,NA,NA,NA
1147,"BORNING, ALAN",NA,NA,NA,NA,NA
1148,"SONENBERG, MAYA",NA,NA,NA,NA,NA
1149,"NORRIS, THOMAS",NA,NA,NA,NA,NA
1150,"SCHMIDT, RODNEY",NA,NA,NA,NA,NA
1151,"BRIDGES, ELIZABETH",NA,NA,NA,NA,NA
1152,"CARRINGTON, EMILY",NA,NA,NA,NA,NA
1153,"NASCIMENTO, AMOS",NA,NA,NA,NA,NA
1154,"JIAMBALVO, JAMES",NA,NA,NA,NA,NA
1155,"SCHAUFELBERGER, JOHN",NA,NA,NA,NA,NA
1156,"SCHALL, LAWRENCE",NA,NA,NA,NA,NA
1157,"KROHN, KENNETH",NA,NA,NA,NA,NA
1158,"SZKODY, PAULA",NA,NA,NA,NA,NA
1159,"ADAMS, LOYCE",NA,NA,NA,NA,NA
1160,"SHENDURE, JAY",41601,90,82,218,211
1161,"COGGINS, TRUMAN",NA,NA,NA,NA,NA
1162,"AFROMOWITZ, MARTIN",NA,NA,NA,NA,NA
1163,"BOLTON, SUSAN",NA,NA,NA,NA,NA
1164,"WRIGHT, ROBIN",NA,NA,NA,NA,NA
1165,"ELLINGSON, TERRY",NA,NA,NA,NA,NA
1166,"BERRYMAN, JACK",NA,NA,NA,NA,NA
1167,"BROWNLEE, DONALD",NA,NA,NA,NA,NA
1168,"ZABOWSKI, DARLENE",NA,NA,NA,NA,NA
1169,"BARONI, MARY",NA,NA,NA,NA,NA
